cep,estado,cidade,ddd,logradouro
30720410,MG,Belo Horizonte,31,Rua Humaitá
9132666.0,NE,NE,NE,NE
4715030.0,NE,NE,NE,NE
30720410,MG,Belo Horizonte,31,Rua Humaitá
9132666.0,NE,NE,NE,NE
4715030.0,NE,NE,NE,NE
30720410,MG,Belo Horizonte,31,Rua Humaitá
9132666.0,NE,NE,NE,NE
4715030.0,NE,NE,NE,NE
65707000,MA,Pio XII,,NE
5775320.0,NE,NE,NE,NE
5775320.0,NE,NE,NE,NE
71258240,DF,Brasília,61,Quadra Quadra 3 Conjunto 7
5775320.0,NE,NE,NE,NE
5775320.0,NE,NE,NE,NE
41211225,BA,Salvador,71,Rua Edgar Pereira da Cruz
15057509,SP,São José do Rio Preto,17,Rua José Arlindo de Melo Silva
33930360,MG,Ribeirão das Neves,31,Rua São Domingos
75686096,GO,Caldas Novas,64,Avenida D
75686096,GO,Caldas Novas,64,Avenida D
37330000,MG,Passa Vinte,,NE
56350000,PE,Petrolina,87,NE
56350000,PE,Petrolina,87,NE
4773010.0,NE,NE,NE,NE
4773010.0,NE,NE,NE,NE
41830000,BA,Salvador,71,Avenida Manoel Dias da Silva
41830000,BA,Salvador,71,Avenida Manoel Dias da Silva
24440720,RJ,São Gonçalo,21,Rua João Silvares
4140300.0,NE,NE,NE,NE
24440720,RJ,São Gonçalo,21,Rua João Silvares
57084008,AL,Maceió,82,Rua Professor Ordener Cerqueira
45657080,BA,Ilhéus,73,Rua Asa Branca
36400037,MG,Conselheiro Lafaiete,31,Rua Brasil
56300000.0,NE,NE,NE,NE
36400037,MG,Conselheiro Lafaiete,31,Rua Brasil
56300000.0,NE,NE,NE,NE
90250140,RS,Porto Alegre,51,Avenida Ernesto Neugebauer
79270000,MS,Caracol,,NE
97060040,RS,Santa Maria,55,Rua Acre
97060040,RS,Santa Maria,55,Rua Acre
43810271,BA,Candeias,71,Rua Desembargador Teixeira de Freitas
45545000,BA,Ubaitaba,73,NE
23560220,RJ,Rio de Janeiro,21,Rua José Pedro Colat
88054600,SC,Florianópolis,48,Rodovia Tertuliano Brito Xavier
88054600,SC,Florianópolis,48,Rodovia Tertuliano Brito Xavier
69400541,AM,Manacapuru,,Rua Joaquina Alexandre
23560220,RJ,Rio de Janeiro,21,Rua José Pedro Colat
23560220,RJ,Rio de Janeiro,21,Rua José Pedro Colat
45545000,BA,Ubaitaba,73,NE
26425300,RJ,Japeri,21,Avenida Berna
57045165,AL,Maceió,82,Rua José Luiz Mendonça
22733020,RJ,Rio de Janeiro,21,Rua Guilherme Veloso
22733020,RJ,Rio de Janeiro,21,Rua Guilherme Veloso
31270650,MG,Belo Horizonte,31,Rua Noraldino Lima
31250670.0,NE,NE,NE,NE
74015050,GO,Goiânia,62,Rua 29
55292145,PE,Garanhuns,87,Rua Major Antônio Pedrosa
63480000,CE,Jaguaretama,88,NE
37554248,MG,Pouso Alegre,35,Avenida Minas Gerais
38300090,MG,Ituiutaba,34,Rua Trinta e Seis
64012060,PI,Teresina,86,Rua Tranvanvam Feitosa
64012060,PI,Teresina,86,Rua Tranvanvam Feitosa
64110000,PI,José de Freitas,,NE
8235540.0,NE,NE,NE,NE
57100000,AL,Rio Largo,82,NE
57038646,AL,Maceió,82,Rua da Alegria
66095660,PA,Belém,91,Passagem Trindade
3621030.0,NE,NE,NE,NE
72035503,DF,Brasília,61,Quadra CSG 3
51021200,PE,Recife,81,Rua Serinhaém
35044140,MG,Governador Valadares,33,Avenida Itatiaia
58037314.0,NE,NE,NE,NE
4890400.0,NE,NE,NE,NE
26061070,RJ,Nova Iguaçu,21,Estrada Santa Bárbara
29650000,ES,Santa Teresa,27,NE
4890400.0,NE,NE,NE,NE
26061070,RJ,Nova Iguaçu,21,Estrada Santa Bárbara
32600098,MG,Betim,31,Rua Romualda Augusta de Melo
21660480,RJ,Rio de Janeiro,21,Rua Juaba
99250210.0,NE,NE,NE,NE
